LNPrice	Distance	Weight	Dereg	Origin
    8.90057      3.60      7.50  1    1       
    11.62770      0.25      7.50  1    0       
    11.19784      0.25     15.00  1    0       
    10.64285      0.25     24.00  1    0       
    10.06555      2.60      7.50  1    1       
    10.97200      1.50      0.25  1    1       
    10.15522      4.80      0.25  1    1       
     9.74701      4.80      7.50  1    1       
     8.67999      6.00     24.00  1    1       
    10.46535      3.00      0.25  1    0       
    10.42440      3.00      0.75  1    0       
    10.18141      3.00      3.00  1    0       
     9.98664      3.00      7.50  1    1       
     9.03475      3.00     24.00  1    1       
    10.52037      1.70      3.00  1    0       
     9.33499      1.70     24.00  1    0       
    10.13132      2.30      7.50  1    0       
    10.64515      2.10      0.75  1    0       
    10.38642      2.10      3.00  1    0       
     8.96047      3.60     24.00  1    1       
    12.28090      0.25      0.25  1    0       
    11.62770      0.25      7.50  1    0       
    11.19784      0.25     15.00  1    0       
     9.64618      2.60     15.00  1    1       
     9.12267      2.60     24.00  1    1       
    10.87242      1.50      0.75  1    1       
    10.59888      1.50      3.00  1    1       
     9.95272      4.80      3.00  1    1       
     9.74701      4.80      7.50  1    1       
     9.65121      6.00      7.50  1    1       
     9.38029      6.00     15.00  1    1       
    10.82763      1.80      0.25  1    1       
    10.47917      1.80      3.00  1    1       
    10.38415      3.40      0.25  1    0       
    10.12025      3.40      3.00  1    0       
     8.96824      3.40     24.00  1    1       
    10.46535      3.00      0.25  1    0       
    10.42440      3.00      0.75  1    0       
    10.18141      3.00      3.00  1    0       
    10.64515      2.10      0.75  1    0       
    10.32853      3.60      0.25  1    1       
    10.31618      3.60      0.75  1    1       
    11.79892      0.25      3.00  1    1       
    11.19784      0.25     15.00  1    1       
    10.51250      2.60      0.75  1    1       
    10.26973      2.60      3.00  1    1       
     9.64618      2.60     15.00  1    1       
    10.15522      4.80      0.75  1    1      
     9.95272      4.80      3.00  1    1     
     9.74701      4.80      7.50  1    1  
     8.79724      4.80     24.00  1    1  
    10.03593      6.00      0.75  1    1 
     8.67999      6.00     24.00  1    1 
    10.47917      1.80      3.00  1    1   
    10.26848      1.80      7.50  1    1    
     9.85484      1.80     15.00  1    1     
     8.96824      3.40     24.00  1    1     
     9.03475      3.00     24.00  1    1   
    10.31582      1.70      7.50  1    0   
     9.47611      3.60     15.00  1    0    
    10.42440      3.00      0.75  1    0    
    10.18141      3.00      3.00  1    0   
     9.98664      3.00      7.50  1    0    
     9.57988      3.00     15.00  1    0    
    10.13132      2.30      7.50  1    0     
    10.70465      2.10      0.25  1    0   
     9.23951      2.10     24.00  1    0    
    10.69290      3.60      0.75  0    1    
    10.05611      3.60     24.00  0    1    
    12.21539      0.25      3.00  0    1    
    12.01662      0.25      7.50  0    1     
    11.77242      0.25     24.00  0    1     
    10.68212      2.60      3.00  0    1    
    10.48865      2.60      7.50  0    1    
     9.91894      4.80     24.00  0    1     
    10.42148      6.00      0.25  0    1    
    10.42148      6.00      0.75  0    1     
     9.81754      6.00     24.00  0    1    
    10.33222      3.40     15.00  0    0     
    10.40412      3.00     15.00  0    0    
    10.15113      3.00     24.00  0    0    
    10.92736      1.70      3.00  0    0    
    10.69290      3.60      0.75  0    0   
    10.30772      3.60     15.00  0    0   
    10.05611      3.60     24.00  0    0   
    10.81903      3.00      0.25  0    0   
    10.40412      3.00      7.50  0    0    
    10.94872      2.30      0.75  0    0    
    10.54160      2.30     15.00  0    0    
    10.30091      2.30     24.00  0    0   
    11.00943      2.10      0.75  0    0   
    11.06503      3.60      0.75  0    1   
    12.97495      0.25      0.25  0    1   
    12.88024      0.25      0.75  0    1   
    12.43423      0.25      7.50  0    1  
    10.85226      2.60      7.50  0    1   
    10.85226      2.60     15.00  0    1   
    11.58194      1.50      0.75  0    1    
    10.57448      4.80     15.00  0    1    
    10.80374      6.00      0.25  0    1    
    10.80374      6.00      0.75  0    1     
    10.46668      6.00      7.50  0    1      
    10.74732      3.40     15.00  0    0    
    10.01561      3.40     24.00  0    0   
    11.16085      3.00      0.75  0    0   
    10.80740      3.00     15.00  0    0   
    11.06503      3.60      0.75  0    0     
    10.80740      3.00     15.00  0    0       
    11.21258      2.10      3.00  0    0       
    10.28067      2.10     24.00  0    0       
    11.00387      3.60     15.00  0    1        
    10.92450      3.60     24.00  0    1      
    11.68433      1.50      3.00  0    1       
    11.41076      1.50     24.00  0    1      
    10.75641      6.00      7.50  0    1      
    10.75641      6.00     15.00  0    0       
    10.67713      6.00     24.00  0    0      
    11.76755      1.80      0.25  0    0       
    11.38331      1.80      7.50  0    0     
    11.38331      1.80     15.00  0    0     
    11.37611      3.40      0.25  0    0      
    11.36878      3.40      0.75  0    0     
    11.22670      3.40      3.00  0    0      
    11.09288      3.00      7.50  0    0     
    11.81250      1.70      0.25  0    0       
    11.34441      1.70     24.00  0    0     
    11.34063      3.60      0.25  0    0       
    11.33562      3.60      0.75  0    0     
    11.43406      3.00      0.75  0    0     
    11.29246      3.00      3.00  0    0     
    11.23847      2.30      7.50  0    0     
    11.15902      2.30     24.00  0    0     
    11.64462      2.10      0.75  0    0      
    11.29669      2.10     15.00  0    0      

